DATE,CPI,Federal_Funds,Wages,Labor_output,GDP
1/1/1980,12.19277,15.04666667,-4.1791,0.05954,1.42078
4/1/1980,13.27684,12.68666667,-5.97015,-0.77928,-0.77507
7/1/1980,12.06976,9.836666667,-3.33333,-0.24085,-1.62381
10/1/1980,12.16036,15.85333333,-3.37423,0.86601,-0.03914
1/1/1981,10.69588,16.57,-2.18069,1.9329,1.59998
4/1/1981,9.47631,17.78,-1.26984,1.65613,2.96869
7/1/1981,11.50696,17.57666667,-3.1348,2.22115,4.32576
10/1/1981,10.24623,13.58666667,-0.95238,0.15106,1.29991
1/1/1982,9.04152,14.22666667,-0.63694,-1.82657,-2.19034
4/1/1982,8.65604,14.51333333,0.96463,-0.53224,-1.01055
7/1/1982,6.86743,11.00666667,0.64725,-1.29617,-2.5559
10/1/1982,5.18732,9.286666667,0.32051,0.58234,-1.44315
1/1/1983,4.55516,8.653333333,0.96154,2.34391,1.43146
4/1/1983,3.66876,8.803333333,0,4.54345,3.26853
7/1/1983,3.23024,9.46,1.28617,4.81441,5.73717
10/1/1983,4.21233,9.43,-0.31949,4.49506,7.89998
1/1/1984,5.0034,9.686666667,-0.63492,3.54967,8.57827
4/1/1984,5.25784,10.55666667,-0.63694,1.96294,7.9967
7/1/1984,5.25965,11.39,-0.63492,1.96515,6.90084
10/1/1984,4.96221,9.266666667,1.28205,1.54774,5.5758
1/1/1985,4.66775,8.476666667,0.31949,1.47871,4.55511
4/1/1985,4.48287,7.923333333,3.52564,1.19647,3.68423
7/1/1985,4.11132,7.9,2.23642,2.024,4.26246
10/1/1985,4.25798,8.103333333,1.26582,2.3059,4.18224
1/1/1986,4.2428,7.826666667,2.2293,3.22466,4.14552
4/1/1986,4.01471,6.92,1.54799,3.707,3.70153
7/1/1986,4.07047,6.206666667,2.5,2.84235,3.11923
10/1/1986,3.87387,6.266666667,3.4375,2.21896,2.90815
1/1/1987,3.59477,6.22,2.18069,0.54427,2.71613
4/1/1987,3.97761,6.65,0,0.4526,3.35882
7/1/1987,3.96964,6.843333333,0.60976,0.04268,3.26728
10/1/1987,4.16305,6.916666667,-0.90634,1.2231,4.4793
1/1/1988,4.33037,6.663333333,0.30488,2.04155,4.24228
4/1/1988,4.33551,7.156666667,-0.91463,1.5889,4.4846
7/1/1988,4.51993,7.983333333,-1.51515,1.84629,4.19282
10/1/1988,4.57952,8.47,-1.21951,1.10523,3.7989
1/1/1989,4.6729,9.443333333,-1.82371,0.81005,4.31521
4/1/1989,4.53558,9.726666667,-0.92308,0.88198,3.7483
7/1/1989,4.37819,9.083333333,-0.92308,1.09741,3.90812
10/1/1989,4.37898,8.613333333,-0.61728,0.87586,2.74381
1/1/1990,4.59559,8.25,-1.23839,1.76078,2.8213
4/1/1990,4.83242,8.243333333,-0.93168,2.14654,2.41276
7/1/1990,5.37828,8.16,-2.79503,1.99035,1.72721
10/1/1990,5.31401,7.743333333,-3.10559,0.92459,0.60288
1/1/1991,5.49837,6.426666667,-0.94044,0.29222,-0.9502
4/1/1991,5.08055,5.863333333,-2.19436,1.21782,-0.53884
7/1/1991,4.66422,5.643333333,-0.31949,1.7484,-0.10272
10/1/1991,4.4423,4.816666667,0.32051,3.29015,1.16642
1/1/1992,3.85531,4.023333333,-0.31646,5.01866,2.85865
4/1/1992,3.82075,3.77,0.32051,4.21512,3.16957
7/1/1992,3.49977,3.256666667,0.64103,4.27034,3.66535
10/1/1992,3.46741,3.036666667,-0.31949,4.40767,4.38298
1/1/1993,3.46013,3.04,0,1.49475,3.32091
4/1/1993,3.43026,3,1.27796,0.02009,2.80787
7/1/1993,3.24617,3.06,1.59236,-0.41812,2.28771
10/1/1993,3.12779,2.99,2.24359,-0.62875,2.60856
1/1/1994,2.90144,3.213333333,0.31746,0.54824,3.43094
4/1/1994,2.74544,3.94,0,1.22535,4.22545
7/1/1994,2.90393,4.486666667,-1.5674,0.19533,4.33665
10/1/1994,2.7513,5.166666667,-1.5674,0.8656,4.11576
1/1/1995,2.94877,5.81,-0.94937,0.63537,3.48112
4/1/1995,3.07824,6.02,-0.94637,1.05329,2.40225
7/1/1995,2.99173,5.796666667,0.95541,1.59641,2.67322
10/1/1995,3.05714,5.72,-0.31847,1.10271,2.19967
